player,season,role,team_t,toi_z,age_t,hit,blk,score,score_adj
Kevin Bahl,2025,defense,CGY,0.9523362197492995,24.0,109.0,116.0,0.43504688174184314,0.43504688174184314
Cole Perfetti,2025,forward,WPG,0.8470123227381434,23.0,71.0,45.0,0.4347979898718417,0.4347979898718417
Trent Frederic,2025,forward,2TM,0.013845068113635218,26.0,157.0,29.0,0.43475115451482743,0.43475115451482743
Jakub Lauko,2025,forward,2TM,-0.3492155413397084,24.0,119.0,39.0,0.4346405696755186,0.4346405696755186
Sean Durzi,2025,defense,UTA,-0.5421770300606269,26.0,15.0,52.0,0.4342123506847311,0.4342123506847311
Dylan Guenther,2025,forward,UTA,0.7440751247549456,21.0,53.0,42.0,0.4341278674147111,0.4341278674147111
Marat Khusnutdinov,2025,forward,2TM,0.21873087154237703,22.0,55.0,47.0,0.43379924112232177,0.43379924112232177
Dante Fabbro,2025,defense,2TM,0.7296005872966507,26.0,67.0,143.0,0.43371675610799537,0.43371675610799537
Jackson LaCombe,2025,defense,ANA,1.128922044717993,24.0,69.0,129.0,0.433693415256002,0.433693415256002
Rasmus Kupari,2025,forward,WPG,-0.33936050947997254,24.0,77.0,31.0,0.43354860594738415,0.43354860594738415
Olen Zellweger,2025,defense,ANA,0.3400644758747712,21.0,37.0,72.0,0.43214348073834863,0.43214348073834863
Tyson Jost,2025,forward,CAR,-0.7115038128730099,26.0,46.0,17.0,0.4316959358215777,0.4316959358215777
Cody Glass,2025,forward,2TM,0.18394477162368536,25.0,53.0,38.0,0.4316497891463927,0.4316497891463927
Lawson Crouse,2025,forward,UTA,0.6000495494255134,27.0,193.0,46.0,0.4312201936182092,0.4312201936182092
Sam Colangelo,2025,forward,ANA,-0.7207100808799106,23.0,67.0,17.0,0.43102348456634537,0.43102348456634537
Jonatan Berggren,2025,forward,DET,0.3427374479843206,24.0,41.0,16.0,0.4307790481635418,0.4307790481635418
Brett Leason,2025,forward,ANA,0.030496673669740775,25.0,64.0,44.0,0.4307372420850085,0.4307372420850085
Shakir Mukhamadullin,2025,defense,SJS,-0.6650227926755111,23.0,25.0,51.0,0.43060387868015965,0.43060387868015965
